"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"2h-pyran-2-one, 6-pentyl-",29.165,84089," V ",NA,89,"27593 - 23 - 3",1396,1,29.16,89354,"   ",NA,90,"27593 - 23 - 3",1396,2,29.16,126653," V ",NA,91,"27593 - 23 - 3",1396,3,29.1616666666667,126653,0.00288675134594755,NA
"pentanal",2.201,2189530," V ",NA,88,"110 - 62 - 3",707,1,2.205,2376271," V ",NA,94,"110 - 62 - 3",707,2,2.192,2399913," V ",NA,95,"110 - 62 - 3",707,3,2.19933333333333,2399913,0.00665832811847934,NA
"2-nonanone",13.304,3066145," V ",NA,88,"821 - 55 - 6",1052,1,13.308,3184287," V ",NA,96,"821 - 55 - 6",1052,2,13.306,3585975," V ",NA,96,"821 - 55 - 6",1052,3,13.306,3585975,0.00199999999999978,NA
"hexanoic acid, hexyl ester",26.473,139931,"   ",NA,88,"6378 - 65 - 0",1381,1,26.478,159978,"   ",NA,89,"6378 - 65 - 0",1381,2,26.482,230501,"   ",NA,86,"6378 - 65 - 0",1381,3,26.4776666666667,230501,0.00450924975282315,NA
"2,6-dimethyldecane",29.658,163485," V ",NA,88,"13150 - 81 - 7",1086,1,29.663,147410," V ",NA,88,"13150 - 81 - 7",1086,2,29.657,179899," V ",NA,87,"13150 - 81 - 7",1086,3,29.6593333333333,179899,0.00321455025366419,NA
"2,6-dimethyldecane",29.749,166841," V ",NA,88,"13150 - 81 - 7",1086,1,29.663,147410," V ",NA,88,"13150 - 81 - 7",1086,2,29.657,179899," V ",NA,87,"13150 - 81 - 7",1086,3,29.6896666666667,179899,0.0514716750585529,NA
"methyl ethyl cyclopentene",6.727,560339," V ",NA,87,"19780 - 56 - 4",860,1,6.739,572138," V ",NA,86,"19780 - 56 - 4",860,2,6.727,556468," V ",NA,88,"19780 - 56 - 4",860,3,6.731,572138,0.00692820323027526,NA
"3-carene",9.748,18522129," V ",NA,87,"13466 - 78 - 9",948,1,9.747,12381882," V ",NA,90,"13466 - 78 - 9",948,2,9.738,9926623," V ",NA,91,"13466 - 78 - 9",948,3,9.74433333333333,18522129,0.00550757054728611,NA
"bicyclo[3.1.1]heptan-3-ol, 6,6-dimethyl-2-methylene-, [1s-(1.alpha.,3.alpha.,5.alpha.)]-",15.456,4649634," V ",NA,87,"547 - 61 - 5",1131,1,15.466,4776698," V ",NA,88,"547 - 61 - 5",1131,2,15.466,5201690," V ",NA,89,"547 - 61 - 5",1131,3,15.4626666666667,5201690,0.00577350269189613,NA
"benzenemethanol, .alpha.,.alpha.,4-trimethyl-",17.599,2001554," V ",NA,87,"1197 - 01 - 9",1197,1,17.607,2308716," V ",NA,89,"1197 - 01 - 9",1197,2,17.604,2598215," V ",NA,90,"1197 - 01 - 9",1197,3,17.6033333333333,2598215,0.0040414518843269,NA
"decanal",18.535,2262977," V ",NA,87,"112 - 31 - 2",1204,1,18.539,2867582," V ",NA,90,"112 - 31 - 2",1204,2,18.536,3415223," V ",NA,91,"112 - 31 - 2",1204,3,18.5366666666667,3415223,0.00208166599946669,NA
"hexanoic acid, pentyl ester",22.233,1291205," V ",NA,87,"540 - 07 - 8",1282,1,22.237,1467254," V ",NA,88,"540 - 07 - 8",1282,2,22.234,1705963," V ",NA,90,"540 - 07 - 8",1282,3,22.2346666666667,1705963,0.00208166599946469,NA
"longifolene",27.169,1572117," V ",NA,87,"475 - 20 - 7",1398,1,27.177,1699542," V ",NA,87,"475 - 20 - 7",1398,2,27.178,1981064," V ",NA,89,"475 - 20 - 7",1398,3,27.1746666666667,1981064,0.00493288286231615,NA
"3,5-octadien-2-one",12.341,145746,"T  ",NA,86,"38284 - 27 - 4",968,1,12.357,172809,"T  ",NA,85,"38284 - 27 - 4",968,2,12.348,522726," V ",NA,85,"38284 - 27 - 4",968,3,12.3486666666667,522726,0.00802080627701059,NA
"bicyclo[2.2.1]heptan-2-ol, 2,3,3-trimethyl-",16.036,3149324," V ",NA,86,"465 - 31 - 6",1088,1,16.043,2491857," V ",NA,86,"465 - 31 - 6",1088,2,16.043,3773607," V ",NA,86,"465 - 31 - 6",1088,3,16.0406666666667,3773607,0.00404145188432617,NA
"pinocarvone",16.37,8572213," V ",NA,86,"30460 - 92 - 5",1114,1,16.377,8996095," V ",NA,85,"30460 - 92 - 5",1114,2,16.375,9890465," V ",NA,85,"30460 - 92 - 5",1114,3,16.374,9890465,0.00360555127546298,NA
"1,3-hexadiene, 3-ethyl-2-methyl-",10.6,28010664," V ",NA,85,"61142 - 36 - 7",868,1,10.602,27268957," V ",NA,86,"61142 - 36 - 7",868,2,10.596,25178886," V ",NA,88,"61142 - 36 - 7",868,3,10.5993333333333,28010664,0.00305505046330394,NA
"dodecane, 4,6-dimethyl-",20.715,2180304," V ",NA,95,"61141 - 72 - 8",1285,1,20.72,1892239," V ",NA,96,"61141 - 72 - 8",1285,2,NA,405741," V ",NA,NA,"61141 - 72 - 8",1285,3,21.8716666666667,2180304,1.99907687029122,24.18
