"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"3-ethyl-3-methylheptane",11.756,8096999," V ",NA,91,"17302 - 01 - 1",931,1,12.026,8477729,"SV ",NA,94,"17302 - 01 - 1",931,2,NA,NA,NA,NA,NA,NA,NA,NA,11.891,8477729,0.190918830920368,NA
"2-octenal, (e)-",11.812,6646234," V ",NA,91,"2548 - 87 - 0",1013,1,11.845,6141183," V ",NA,92,"2548 - 87 - 0",1013,2,NA,NA,NA,NA,NA,NA,NA,NA,11.8285,6646234,0.023334523779157,NA
"2-undecenal",25.479,290262,"   ",NA,91,"2463 - 77 - 6",1311,1,25.482,323208," V ",NA,91,"2463 - 77 - 6",1311,2,NA,NA,NA,NA,NA,NA,NA,NA,25.4805,323208,0.00212132034355972,NA
"gamma-butyrolactone",6.042,4065572," V ",NA,90,"0 - 00 - 0",0,1,6.123,3060265," V ",NA,91,"0 - 00 - 0",0,2,NA,NA,NA,NA,NA,NA,NA,NA,6.0825,4065572,0.0572756492761106,NA
"phenol",8.581,1775414," V ",NA,90,"108 - 95 - 2",901,1,8.641,1175466," V ",NA,95,"108 - 95 - 2",901,2,NA,NA,NA,NA,NA,NA,NA,NA,8.611,1775414,0.0424264068711932,NA
"undecane, 3,4-dimethyl-",15.035,309635," V ",NA,90,"17312 - 78 - 6",1185,1,15.052,337027," V ",NA,90,"17312 - 78 - 6",1185,2,NA,NA,NA,NA,NA,NA,NA,NA,15.0435,337027,0.0120208152801709,NA
"trans-3-nonen-2-one",15.411,218576," V ",NA,90,"18402 - 83 - 0",1060,1,15.435,189673," V ",NA,90,"18402 - 83 - 0",1060,2,NA,NA,NA,NA,NA,NA,NA,NA,15.423,218576,0.0169705627484778,NA
"3-ethyl-3-methylheptane",22.324,227916," V ",NA,90,"17302 - 01 - 1",931,1,12.026,8477729,"SV ",NA,94,"17302 - 01 - 1",931,2,NA,NA,NA,NA,NA,NA,NA,NA,17.175,8477729,7.28178563265907,NA
"(1r)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",NA,NA,NA,NA,NA,NA,NA,NA,6.96,28714501,"SV ",NA,96,"7785 - 70 - 8",948,2,6.997,25030092,"SV ",NA,96,"7785 - 70 - 8",948,3,6.9785,28714501,0.0261629509039022,NA
"hexane, 2,2,5-trimethyl-",NA,NA,NA,NA,NA,NA,NA,NA,3.194,809560," V ",NA,95,"3522 - 94 - 9",767,2,3.229,536355," V ",NA,94,"3522 - 94 - 9",767,3,3.2115,809560,0.0247487373415293,NA
"pentane, 2,3,4-trimethyl-",NA,NA,NA,NA,NA,NA,NA,NA,2.774,151444,"   ",NA,94,"565 - 75 - 3",624,2,2.806,277819,"   ",NA,90,"565 - 75 - 3",624,3,2.79,277819,0.0226274169979695,NA
"hexane, 3,3-dimethyl-",NA,NA,NA,NA,NA,NA,NA,NA,2.861,546788," V ",NA,93,"563 - 16 - 6",732,2,23.157,86071,"   ",NA,90,"563 - 16 - 6",732,3,13.009,546788,14.3514392309622,NA
"alpha-terpineol",NA,NA,NA,NA,NA,NA,NA,NA,17.95,3064153," V ",NA,93,"0 - 00 - 0",0,2,17.985,1088860,"   ",NA,92,"0 - 00 - 0",0,3,17.9675,3064153,0.0247487373415293,NA
"1-pentanol",NA,NA,NA,NA,NA,NA,NA,NA,3.029,9748180," V ",NA,90,"71 - 41 - 0",761,2,3.072,3843657," V ",NA,92,"71 - 41 - 0",761,3,3.0505,9748180,0.0304055915910216,NA
"octane, 2,7-dimethyl-",NA,NA,NA,NA,NA,NA,NA,NA,6.848,297215,"   ",NA,90,"1072 - 16 - 8",887,2,6.884,233281,"   ",NA,91,"1072 - 16 - 8",887,3,6.866,297215,0.025455844122716,NA
"undecane, 2-methyl-",NA,NA,NA,NA,NA,NA,NA,NA,16.698,863664," V ",NA,90,"7045 - 71 - 8",1150,2,16.737,371300,"S  ",NA,92,"7045 - 71 - 8",1150,3,16.7175,863664,0.0275771644662739,NA
"octane, 3,5-dimethyl-",NA,NA,NA,NA,NA,NA,NA,NA,18.926,1556894," V ",NA,90,"15869 - 93 - 9",887,2,18.967,668458," V ",NA,90,"15869 - 93 - 9",887,3,18.9465,1556894,0.0289913780286487,NA
